#freq(Hz) lambda(m)  spectrum 
1.9878e-23 1.0000e-02 9.9521e+09 
2.2087e-23 9.0000e-03 1.6845e+10 
2.4541e-23 8.1000e-03 2.8510e+10 
2.7267e-23 7.2900e-03 4.8251e+10 
3.0297e-23 6.5610e-03 8.1653e+10 
3.3664e-23 5.9049e-03 1.3817e+11 
3.7404e-23 5.3144e-03 2.3378e+11 
4.1560e-23 4.7830e-03 3.9551e+11 
4.6178e-23 4.3047e-03 6.6905e+11 
5.1309e-23 3.8742e-03 1.1316e+12 
5.7010e-23 3.4868e-03 1.9138e+12 
6.3344e-23 3.1381e-03 3.2361e+12 
7.0382e-23 2.8243e-03 5.4710e+12 
7.8202e-23 2.5419e-03 9.2477e+12 
8.6892e-23 2.2877e-03 1.5628e+13 
9.6546e-23 2.0589e-03 2.6405e+13 
1.0727e-22 1.8530e-03 4.4601e+13 
1.1919e-22 1.6677e-03 7.5315e+13 
1.3244e-22 1.5009e-03 1.2714e+14 
1.4715e-22 1.3509e-03 2.1455e+14 
1.6350e-22 1.2158e-03 3.6191e+14 
1.8167e-22 1.0942e-03 6.1021e+14 
2.0185e-22 9.8477e-04 1.0284e+15 
2.2428e-22 8.8629e-04 1.7321e+15 
2.4920e-22 7.9766e-04 2.9158e+15 
2.7689e-22 7.1790e-04 4.9050e+15 
3.0766e-22 6.4611e-04 8.2452e+15 
3.4184e-22 5.8150e-04 1.3848e+16 
3.7982e-22 5.2335e-04 2.3238e+16 
4.2203e-22 4.7101e-04 3.8955e+16 
4.6892e-22 4.2391e-04 6.5228e+16 
5.2102e-22 3.8152e-04 1.0908e+17 
5.7891e-22 3.4337e-04 1.8217e+17 
6.4324e-22 3.0903e-04 3.0375e+17 
7.1471e-22 2.7813e-04 5.0559e+17 
7.9412e-22 2.5032e-04 8.3996e+17 
8.8235e-22 2.2528e-04 1.3925e+18 
9.8039e-22 2.0276e-04 2.3030e+18 
1.0893e-21 1.8248e-04 3.7988e+18 
1.2104e-21 1.6423e-04 6.2480e+18 
1.3448e-21 1.4781e-04 1.0243e+19 
1.4943e-21 1.3303e-04 1.6731e+19 
1.6603e-21 1.1973e-04 2.7221e+19 
1.8448e-21 1.0775e-04 4.4090e+19 
2.0498e-21 9.6977e-05 7.1060e+19 
2.2775e-21 8.7280e-05 1.1390e+20 
2.5306e-21 7.8552e-05 1.8145e+20 
2.8117e-21 7.0697e-05 2.8711e+20 
3.1242e-21 6.3627e-05 4.5089e+20 
3.4713e-21 5.7264e-05 7.0217e+20 
3.8570e-21 5.1538e-05 1.0833e+21 
4.2855e-21 4.6384e-05 1.6542e+21 
4.7617e-21 4.1746e-05 2.4971e+21 
5.2908e-21 3.7571e-05 3.7215e+21 
5.8786e-21 3.3814e-05 5.4682e+21 
6.5318e-21 3.0433e-05 7.9088e+21 
7.2576e-21 2.7389e-05 1.1240e+22 
8.0640e-21 2.4650e-05 1.5666e+22 
8.9600e-21 2.2185e-05 2.1367e+22 
9.9555e-21 1.9967e-05 2.8451e+22 
1.1062e-20 1.7970e-05 3.6885e+22 
1.2291e-20 1.6173e-05 4.6420e+22 
1.3656e-20 1.4556e-05 5.6524e+22 
1.5174e-20 1.3100e-05 6.6351e+22 
1.6860e-20 1.1790e-05 7.4777e+22 
1.8733e-20 1.0611e-05 8.0546e+22 
2.0815e-20 9.5500e-06 8.2505e+22 
2.3127e-20 8.5950e-06 7.9921e+22 
2.5697e-20 7.7355e-06 7.2758e+22 
2.8552e-20 6.9620e-06 6.1823e+22 
3.1725e-20 6.2658e-06 4.8656e+22 
3.5250e-20 5.6392e-06 3.5168e+22 
3.9166e-20 5.0753e-06 2.3125e+22 
4.3518e-20 4.5678e-06 1.3688e+22 
4.8353e-20 4.1110e-06 7.2094e+21 
5.3726e-20 3.6999e-06 3.3350e+21 
5.9696e-20 3.3299e-06 1.3356e+21 
6.6328e-20 2.9969e-06 4.5567e+20 
7.3698e-20 2.6972e-06 1.3012e+20 
8.1887e-20 2.4275e-06 3.0486e+19 
9.0985e-20 2.1847e-06 5.7337e+18 
1.0109e-19 1.9663e-06 8.4473e+17 
1.1233e-19 1.7696e-06 9.4878e+16 
1.2481e-19 1.5927e-06 7.8829e+15 
1.3868e-19 1.4334e-06 4.6852e+14 
1.5408e-19 1.2901e-06 1.9193e+13 
1.7121e-19 1.1611e-06 5.1993e+11 
1.9023e-19 1.0450e-06 8.8962e+09 
2.1136e-19 9.4046e-07 9.1356e+07 
2.3485e-19 8.4641e-07 5.3199e+05 
