#freq(Hz) lambda(m)  spectrum 
1.9878e-23 1.0000e-02 9.9971e+09 
2.2087e-23 9.0000e-03 1.6930e+10 
2.4541e-23 8.1000e-03 2.8670e+10 
2.7267e-23 7.2900e-03 4.8550e+10 
3.0297e-23 6.5610e-03 8.2217e+10 
3.3664e-23 5.9049e-03 1.3923e+11 
3.7404e-23 5.3144e-03 2.3577e+11 
4.1560e-23 4.7830e-03 3.9926e+11 
4.6178e-23 4.3047e-03 6.7610e+11 
5.1309e-23 3.8742e-03 1.1449e+12 
5.7010e-23 3.4868e-03 1.9387e+12 
6.3344e-23 3.1381e-03 3.2829e+12 
7.0382e-23 2.8243e-03 5.5591e+12 
7.8202e-23 2.5419e-03 9.4134e+12 
8.6892e-23 2.2877e-03 1.5940e+13 
9.6546e-23 2.0589e-03 2.6990e+13 
1.0727e-22 1.8530e-03 4.5701e+13 
1.1919e-22 1.6677e-03 7.7381e+13 
1.3244e-22 1.5009e-03 1.3102e+14 
1.4715e-22 1.3509e-03 2.2184e+14 
1.6350e-22 1.2158e-03 3.7560e+14 
1.8167e-22 1.0942e-03 6.3591e+14 
2.0185e-22 9.8477e-04 1.0766e+15 
2.2428e-22 8.8629e-04 1.8226e+15 
2.4920e-22 7.9766e-04 3.0855e+15 
2.7689e-22 7.1790e-04 5.2233e+15 
3.0766e-22 6.4611e-04 8.8417e+15 
3.4184e-22 5.8150e-04 1.4966e+16 
3.7982e-22 5.2335e-04 2.5331e+16 
4.2203e-22 4.7101e-04 4.2873e+16 
4.6892e-22 4.2391e-04 7.2556e+16 
5.2102e-22 3.8152e-04 1.2278e+17 
5.7891e-22 3.4337e-04 2.0776e+17 
6.4324e-22 3.0903e-04 3.5151e+17 
7.1471e-22 2.7813e-04 5.9467e+17 
7.9412e-22 2.5032e-04 1.0059e+18 
8.8235e-22 2.2528e-04 1.7014e+18 
9.8039e-22 2.0276e-04 2.8772e+18 
1.0893e-21 1.8248e-04 4.8648e+18 
1.2104e-21 1.6423e-04 8.2242e+18 
1.3448e-21 1.4781e-04 1.3901e+19 
1.4943e-21 1.3303e-04 2.3490e+19 
1.6603e-21 1.1973e-04 3.9685e+19 
1.8448e-21 1.0775e-04 6.7027e+19 
2.0498e-21 9.6977e-05 1.1317e+20 
2.2775e-21 8.7280e-05 1.9103e+20 
2.5306e-21 7.8552e-05 3.2233e+20 
2.8117e-21 7.0697e-05 5.4364e+20 
3.1242e-21 6.3627e-05 9.1650e+20 
3.4713e-21 5.7264e-05 1.5443e+21 
3.8570e-21 5.1538e-05 2.6007e+21 
4.2855e-21 4.6384e-05 4.3771e+21 
4.7617e-21 4.1746e-05 7.3617e+21 
5.2908e-21 3.7571e-05 1.2372e+22 
5.8786e-21 3.3814e-05 2.0774e+22 
6.5318e-21 3.0433e-05 3.4850e+22 
7.2576e-21 2.7389e-05 5.8401e+22 
8.0640e-21 2.4650e-05 9.7753e+22 
8.9600e-21 2.2185e-05 1.6341e+23 
9.9555e-21 1.9967e-05 2.7277e+23 
1.1062e-20 1.7970e-05 4.5459e+23 
1.2291e-20 1.6173e-05 7.5627e+23 
1.3656e-20 1.4556e-05 1.2556e+24 
1.5174e-20 1.3100e-05 2.0802e+24 
1.6860e-20 1.1790e-05 3.4378e+24 
1.8733e-20 1.0611e-05 5.6660e+24 
2.0815e-20 9.5500e-06 9.3103e+24 
2.3127e-20 8.5950e-06 1.5247e+25 
2.5697e-20 7.7355e-06 2.4878e+25 
2.8552e-20 6.9620e-06 4.0423e+25 
3.1725e-20 6.2658e-06 6.5380e+25 
3.5250e-20 5.6392e-06 1.0521e+26 
3.9166e-20 5.0753e-06 1.6834e+26 
4.3518e-20 4.5678e-06 2.6766e+26 
4.8353e-20 4.1110e-06 4.2260e+26 
5.3726e-20 3.6999e-06 6.6207e+26 
5.9696e-20 3.3299e-06 1.0283e+27 
6.6328e-20 2.9969e-06 1.5818e+27 
7.3698e-20 2.6972e-06 2.4074e+27 
8.1887e-20 2.4275e-06 3.6208e+27 
9.0985e-20 2.1847e-06 5.3743e+27 
1.0109e-19 1.9663e-06 7.8610e+27 
1.1233e-19 1.7696e-06 1.1313e+28 
1.2481e-19 1.5927e-06 1.5988e+28 
1.3868e-19 1.4334e-06 2.2146e+28 
1.5408e-19 1.2901e-06 2.9999e+28 
1.7121e-19 1.1611e-06 3.9640e+28 
1.9023e-19 1.0450e-06 5.0955e+28 
2.1136e-19 9.4046e-07 6.3525e+28 
2.3485e-19 8.4641e-07 7.6544e+28 
2.6094e-19 7.6177e-07 8.8809e+28 
2.8994e-19 6.8560e-07 9.8800e+28 
3.2215e-19 6.1704e-07 1.0490e+29 
