#freq(Hz) lambda(m)  spectrum 
1.9878e-23 1.0000e-02 9.9976e+09 
2.2087e-23 9.0000e-03 1.6931e+10 
2.4541e-23 8.1000e-03 2.8671e+10 
2.7267e-23 7.2900e-03 4.8553e+10 
3.0297e-23 6.5610e-03 8.2223e+10 
3.3664e-23 5.9049e-03 1.3924e+11 
3.7404e-23 5.3144e-03 2.3579e+11 
4.1560e-23 4.7830e-03 3.9930e+11 
4.6178e-23 4.3047e-03 6.7617e+11 
5.1309e-23 3.8742e-03 1.1450e+12 
5.7010e-23 3.4868e-03 1.9390e+12 
6.3344e-23 3.1381e-03 3.2834e+12 
7.0382e-23 2.8243e-03 5.5601e+12 
7.8202e-23 2.5419e-03 9.4151e+12 
8.6892e-23 2.2877e-03 1.5943e+13 
9.6546e-23 2.0589e-03 2.6996e+13 
1.0727e-22 1.8530e-03 4.5713e+13 
1.1919e-22 1.6677e-03 7.7404e+13 
1.3244e-22 1.5009e-03 1.3106e+14 
1.4715e-22 1.3509e-03 2.2192e+14 
1.6350e-22 1.2158e-03 3.7574e+14 
1.8167e-22 1.0942e-03 6.3619e+14 
2.0185e-22 9.8477e-04 1.0771e+15 
2.2428e-22 8.8629e-04 1.8236e+15 
2.4920e-22 7.9766e-04 3.0874e+15 
2.7689e-22 7.1790e-04 5.2268e+15 
3.0766e-22 6.4611e-04 8.8483e+15 
3.4184e-22 5.8150e-04 1.4978e+16 
3.7982e-22 5.2335e-04 2.5355e+16 
4.2203e-22 4.7101e-04 4.2916e+16 
4.6892e-22 4.2391e-04 7.2638e+16 
5.2102e-22 3.8152e-04 1.2294e+17 
5.7891e-22 3.4337e-04 2.0805e+17 
6.4324e-22 3.0903e-04 3.5206e+17 
7.1471e-22 2.7813e-04 5.9570e+17 
7.9412e-22 2.5032e-04 1.0078e+18 
8.8235e-22 2.2528e-04 1.7050e+18 
9.8039e-22 2.0276e-04 2.8840e+18 
1.0893e-21 1.8248e-04 4.8776e+18 
1.2104e-21 1.6423e-04 8.2483e+18 
1.3448e-21 1.4781e-04 1.3946e+19 
1.4943e-21 1.3303e-04 2.3575e+19 
1.6603e-21 1.1973e-04 3.9844e+19 
1.8448e-21 1.0775e-04 6.7326e+19 
2.0498e-21 9.6977e-05 1.1374e+20 
2.2775e-21 8.7280e-05 1.9208e+20 
2.5306e-21 7.8552e-05 3.2430e+20 
2.8117e-21 7.0697e-05 5.4735e+20 
3.1242e-21 6.3627e-05 9.2345e+20 
3.4713e-21 5.7264e-05 1.5573e+21 
3.8570e-21 5.1538e-05 2.6251e+21 
4.2855e-21 4.6384e-05 4.4226e+21 
4.7617e-21 4.1746e-05 7.4468e+21 
5.2908e-21 3.7571e-05 1.2531e+22 
5.8786e-21 3.3814e-05 2.1071e+22 
6.5318e-21 3.0433e-05 3.5404e+22 
7.2576e-21 2.7389e-05 5.9433e+22 
8.0640e-21 2.4650e-05 9.9675e+22 
8.9600e-21 2.2185e-05 1.6698e+23 
9.9555e-21 1.9967e-05 2.7941e+23 
1.1062e-20 1.7970e-05 4.6690e+23 
1.2291e-20 1.6173e-05 7.7906e+23 
1.3656e-20 1.4556e-05 1.2978e+24 
1.5174e-20 1.3100e-05 2.1579e+24 
1.6860e-20 1.1790e-05 3.5807e+24 
1.8733e-20 1.0611e-05 5.9283e+24 
2.0815e-20 9.5500e-06 9.7903e+24 
2.3127e-20 8.5950e-06 1.6123e+25 
2.5697e-20 7.7355e-06 2.6471e+25 
2.8552e-20 6.9620e-06 4.3309e+25 
3.1725e-20 6.2658e-06 7.0587e+25 
3.5250e-20 5.6392e-06 1.1456e+26 
3.9166e-20 5.0753e-06 1.8504e+26 
4.3518e-20 4.5678e-06 2.9732e+26 
4.8353e-20 4.1110e-06 4.7496e+26 
5.3726e-20 3.6999e-06 7.5381e+26 
5.9696e-20 3.3299e-06 1.1878e+27 
6.6328e-20 2.9969e-06 1.8567e+27 
7.3698e-20 2.6972e-06 2.8765e+27 
8.1887e-20 2.4275e-06 4.4127e+27 
9.0985e-20 2.1847e-06 6.6953e+27 
1.0109e-19 1.9663e-06 1.0035e+28 
1.1233e-19 1.7696e-06 1.4839e+28 
1.2481e-19 1.5927e-06 2.1613e+28 
1.3868e-19 1.4334e-06 3.0958e+28 
1.5408e-19 1.2901e-06 4.3525e+28 
1.7121e-19 1.1611e-06 5.9942e+28 
1.9023e-19 1.0450e-06 8.0676e+28 
2.1136e-19 9.4046e-07 1.0584e+29 
2.3485e-19 8.4641e-07 1.3498e+29 
2.6094e-19 7.6177e-07 1.6680e+29 
2.8994e-19 6.8560e-07 1.9902e+29 
3.2215e-19 6.1704e-07 2.2841e+29 
3.5795e-19 5.5533e-07 2.5105e+29 
3.9772e-19 4.9980e-07 2.6299e+29 
4.4191e-19 4.4982e-07 2.6118e+29 
4.9101e-19 4.0484e-07 2.4445e+29 
5.4557e-19 3.6435e-07 2.1420e+29 
6.0619e-19 3.2792e-07 1.7444e+29 
6.7354e-19 2.9513e-07 1.3097e+29 
7.4838e-19 2.6561e-07 8.9830e+28 
8.3153e-19 2.3905e-07 5.5726e+28 
9.2393e-19 2.1515e-07 3.0920e+28 
1.0266e-18 1.9363e-07 1.5156e+28 
1.1406e-18 1.7427e-07 6.4726e+27 
1.2674e-18 1.5684e-07 2.3720e+27 
1.4082e-18 1.4116e-07 7.3329e+26 
1.5647e-18 1.2704e-07 1.8766e+26 
1.7385e-18 1.1434e-07 3.8930e+25 
1.9317e-18 1.0290e-07 6.3956e+24 
2.1463e-18 9.2614e-08 8.1077e+23 
2.3848e-18 8.3352e-08 7.7059e+22 
2.6498e-18 7.5017e-08 5.3183e+21 
2.9442e-18 6.7516e-08 2.5721e+20 
3.2713e-18 6.0764e-08 8.3795e+18 
3.6348e-18 5.4688e-08 1.7600e+17 
4.0387e-18 4.9219e-08 2.2696e+15 
4.4874e-18 4.4297e-08 1.7023e+13 
4.9860e-18 3.9867e-08 6.9917e+10 
5.5401e-18 3.5881e-08 1.4708e+08 
6.1556e-18 3.2292e-08 1.4711e+05 
6.8396e-18 2.9063e-08 6.4419e+01 
7.5995e-18 2.6157e-08 1.1266e-02 
8.4439e-18 2.3541e-08 1.0000e-90 
9.3821e-18 2.1187e-08 1.0000e-90 
1.0425e-17 1.9068e-08 1.0000e-90 
1.1583e-17 1.7162e-08 1.0000e-90 
1.2870e-17 1.5445e-08 1.0000e-90 
1.4300e-17 1.3901e-08 1.0000e-90 
1.5889e-17 1.2511e-08 1.0000e-90 
1.7654e-17 1.1260e-08 1.0000e-90 
1.9616e-17 1.0134e-08 1.0000e-90 
2.1795e-17 9.1203e-09 1.0000e-90 
2.4217e-17 8.2083e-09 1.0000e-90 
2.6908e-17 7.3875e-09 1.0000e-90 
2.9897e-17 6.6487e-09 1.0000e-90 
3.3219e-17 5.9839e-09 1.0000e-90 
3.6910e-17 5.3855e-09 1.0000e-90 
4.1012e-17 4.8469e-09 1.0000e-90 
4.5568e-17 4.3622e-09 1.0000e-90 
5.0632e-17 3.9260e-09 1.0000e-90 
5.6257e-17 3.5334e-09 1.0000e-90 
6.2508e-17 3.1801e-09 1.0000e-90 
6.9453e-17 2.8621e-09 1.0000e-90 
7.7171e-17 2.5759e-09 1.0000e-90 
8.5745e-17 2.3183e-09 1.0000e-90 
9.5272e-17 2.0864e-09 1.0000e-90 
1.0586e-16 1.8778e-09 1.0000e-90 
1.1762e-16 1.6900e-09 1.0000e-90 
1.3069e-16 1.5210e-09 1.0000e-90 
1.4521e-16 1.3689e-09 1.0000e-90 
1.6134e-16 1.2320e-09 1.0000e-90 
1.7927e-16 1.1088e-09 1.0000e-90 
1.9919e-16 9.9794e-10 1.0000e-90 
2.2132e-16 8.9814e-10 1.0000e-90 
2.4591e-16 8.0833e-10 1.0000e-90 
2.7324e-16 7.2750e-10 1.0000e-90 
3.0360e-16 6.5475e-10 1.0000e-90 
3.3733e-16 5.8927e-10 1.0000e-90 
3.7481e-16 5.3035e-10 1.0000e-90 
4.1646e-16 4.7731e-10 1.0000e-90 
4.6273e-16 4.2958e-10 1.0000e-90 
5.1415e-16 3.8662e-10 1.0000e-90 
5.7127e-16 3.4796e-10 1.0000e-90 
6.3475e-16 3.1316e-10 1.0000e-90 
7.0528e-16 2.8185e-10 1.0000e-90 
7.8364e-16 2.5366e-10 1.0000e-90 
8.7071e-16 2.2830e-10 1.0000e-90 
9.6746e-16 2.0547e-10 1.0000e-90 
1.0750e-15 1.8492e-10 1.0000e-90 
1.1944e-15 1.6643e-10 1.0000e-90 
1.3271e-15 1.4979e-10 1.0000e-90 
1.4746e-15 1.3481e-10 1.0000e-90 
1.6384e-15 1.2133e-10 1.0000e-90 
1.8204e-15 1.0919e-10 1.0000e-90 
